ReadorWrite		Address			Data
0   			32			    128    
0   			 1			      1    
0   			 2			      2    
0   			 4			      4    
0   			 8			      8    
0   			 0			     16    
1   			33			     32    
0   			 3			     64    
0   			 6			    129    
0   			12			      3    
0   			 8			      6    
0   			33			     12    
0   			34			     24    
1   			 5			     48    
1   			10			     96    
0   			 4			    193    
0   			41			    130    
0   			 3			      5    
0   			39			     10    
0   			15			     20    
1   			14			     40    
0   			45			     80    
1   			42			    161    
0   			36			     67    
0   			40			    135    
0   			 1			     15    
0   			35			     30    
1   			 7			     60    
1   			14			    120    
1   			12			    241    
1   			41			    226    
0   			34			    196    
0   			36			    136    
0   			 9			     17    
1   			 2			     34    
0   			37			     68    
0   			11			    137    
0   			 6			     19    
1   			45			     38    
0   			11			     76    
0   			39			    153    
1   			46			     51    
1   			13			    102    
0   			43			    205    
0   			38			    154    
1   			44			     53    
1   			 9			    106    
0   			35			    213    
1   			38			    170    
0   			13			     85    
1   			10			    171    
0   			37			     87    
1   			42			    175    
0   			 5			     95    
1   			43			    191    
1   			 7			    127    
1   			47			    255    
1   			15			    254    
1   			47			    252    
1   			46			    248    
1   			44			    240    
1   			40			    224    
0   			32			    192    
0   			32			    128    
0   			 1			      1    
0   			 2			      2    
0   			 4			      4    
0   			 8			      8    
0   			 0			     16    
1   			33			     32    
0   			 3			     64    
0   			 6			    129    
0   			12			      3    
0   			 8			      6    
0   			33			     12    
0   			34			     24    
1   			 5			     48    
1   			10			     96    
0   			 4			    193    
0   			41			    130    
0   			 3			      5    
0   			39			     10    
0   			15			     20    
1   			14			     40    
0   			45			     80    
1   			42			    161    
0   			36			     67    
0   			40			    135    
0   			 1			     15    
0   			35			     30    
1   			 7			     60    
1   			14			    120    
1   			12			    241    
1   			41			    226    
0   			34			    196    
0   			36			    136    
0   			 9			     17    
1   			 2			     34    
0   			37			     68    
0   			11			    137    
